Countries,Year,Number_of_companies
Argentina,2017,4
Australia,2017,39
Austria,2017,9
Bangladesh,2017,0
Belarus,2017,3
Belgium,2017,6
Bermuda,2017,1
Brazil,2017,12
British Virgin Islands,2017,1
Bulgaria,2017,0
Canada,2017,138
Chile,2017,3
China,2017,100
Colombia,2017,2
Croatia,2017,0
Cyprus,2017,2
Czech Republic,2017,4
Denmark,2017,15
Ecuador,2017,1
Egypt,2017,1
El Salvador,2017,1
Estonia,2017,4
Finland,2017,24
France,2017,91
Georgia,2017,1
Germany,2017,71
Gibraltar,2017,1
Greece,2017,0
Hong Kong,2017,16
Hungary,2017,3
Iceland,2017,1
India,2017,122
Indonesia,2017,4
Ireland,2017,21
Israel,2017,85
Italy,2017,19
Japan,2017,28
Kenya,2017,2
Latvia,2017,5
Lebanon,2017,1
Lithuania,2017,2
Luxembourg,2017,2
Malaysia,2017,1
Malta,2017,1
Mauritius,2017,1
Mexico,2017,7
Mongolia,2017,0
Netherlands,2017,19
New Zealand,2017,4
Nigeria,2017,1
Norway,2017,11
Pakistan,2017,1
Peru,2017,1
Philippines,2017,1
Poland,2017,18
Portugal,2017,12
Qatar,2017,1
Romania,2017,2
Russia,2017,25
Singapore,2017,33
South Africa,2017,7
South Korea,2017,19
Spain,2017,28
Sweden,2017,36
Switzerland,2017,25
Taiwan,2017,8
Tunisia,2017,1
Turkey,2017,4
Ukraine,2017,4
United Arab Emirates,2017,5
United Kingdom,2017,210
United States,2017,1297
Uruguay,2017,0
Vietnam,2017,0
Argentina,2016,2
Australia,2016,19
Austria,2016,3
Bangladesh,2016,1
Belarus,2016,1
Belgium,2016,5
Bermuda,2016,1
Brazil,2016,7
British Virgin Islands,2016,0
Bulgaria,2016,0
Canada,2016,87
Chile,2016,2
China,2016,73
Colombia,2016,0
Croatia,2016,1
Cyprus,2016,1
Czech Republic,2016,4
Denmark,2016,8
Ecuador,2016,0
Egypt,2016,0
El Salvador,2016,0
Estonia,2016,2
Finland,2016,9
France,2016,57
Georgia,2016,1
Germany,2016,48
Gibraltar,2016,0
Greece,2016,0
Hong Kong,2016,8
Hungary,2016,5
Iceland,2016,0
India,2016,74
Indonesia,2016,2
Ireland,2016,11
Israel,2016,62
Italy,2016,11
Japan,2016,22
Kenya,2016,4
Latvia,2016,3
Lebanon,2016,1
Lithuania,2016,4
Luxembourg,2016,0
Malaysia,2016,0
Malta,2016,1
Mauritius,2016,0
Mexico,2016,4
Mongolia,2016,1
Netherlands,2016,15
New Zealand,2016,2
Nigeria,2016,1
Norway,2016,8
Pakistan,2016,3
Peru,2016,0
Philippines,2016,0
Poland,2016,7
