Country,Name,Category
United States,*gram Labs,Core AI
Germany,12k Research,Business Intelligence
Israel,12mass,Communication
China,12SIGMA,Healthcare
United States,133T.,Human Resources
Germany,149 Technologies,Communication
China,21vianet,Core AI
India,22Motors,Transportation
Israel,24me,Communication
Israel,2bPrecise,Healthcare
Netherlands,2getthere,Transportation
United States,2Know Services,Business Intelligence
United States,30SecondsToFly - Claire,Travel
Canada,360pi Corp.,Sales/Marketing
United States,3DFS Software-Defined Electricity,Energy
United States,3DLOOK,E-Commerce
Israel,3DSignals,Automation
China,3Glasses,Entertainment
United States,3scan,Healthcare
United States,3TEN8,Core AI
United States,42 Interactive,Communication
Canada,42 Technologies,Text Analytics
United States,451 Degrees,Sales/Marketing
Germany,5Analytics,Software Development
United States,6Sense Insights,Sales/Marketing
United States,7 Chord,Fintech
Netherlands,8vance,Human Resources
Netherlands,904Labs,Text Analytics
China,A-Eye,Healthcare
United Kingdom,A.I. Music Group,Entertainment
United States,A3CUBE,Data Analytics
Germany,Aaron,Communication
United States,Aatonomy,Software Development
United Kingdom,ABAKA,Communication
China,Abbott Technology,Business Intelligence
United States,Abe AI,Fintech
Japan,ABEJA,Automation
Japan,Abeja Platform,Automation
China,Abitai,E-Commerce
United States,Abot Labs Inc,Communication
United States,Abstract Regression-Classification Machine Learning Library,
United States,Abzooba Inc.,Communication
United Kingdom,Academy of Robotics,Transportation
United Kingdom,Accelerated Dynamics,Internet of Things
India,Accelo,Internet of Things
United States,Accompany,Communication
Canada,Account HQ,Sales/Marketing
United States,Accrumental Inc.,Fintech
Germany,Acellere,Software Development
United States,Acer Innovation,Data Analytics
United States,Acobot,Communication
United States,Acorn,Geolocation
Germany,Acrolinx,Software Development
United States,Acrossio (Across Lab Inc.),Human Resources
United Kingdom,Action AI,Communication
Israel,Actionbar,Communication
United States,ActionIQ,Sales/Marketing
Singapore,Active.ai,Fintech
United States,Actively,Healthcare
United Kingdom,Acuity Trading,Fintech
Canada,AcuityAds,Sales/Marketing
United States,acuteIQ,Communication
Germany,Ada,Healthcare
United States,AdaptiveWell Technologies,Automation
Singapore,AdAsia Holdings,Sales/Marketing
Israel,Adasky,Transportation
United Kingdom,Adbrain,Sales/Marketing
United States,AdDaptive Intelligence,Sales/Marketing
Italy,Addfor,Automation
United States,AddStructure,Sales/Marketing
Switzerland,Adello,Sales/Marketing
Canada,Adeptmind,Communication
United States,ADEXT,Sales/Marketing
United States,Adgorithms,Sales/Marketing
United States,Adhark,Computer Vision
Israel,AdiMap,Sales/Marketing
Israel,Adjesty,Sales/Marketing
United States,ADmantX,Sales/Marketing
United States,AdMass,Sales/Marketing
United Kingdom,Admedo,Sales/Marketing
Sweden,ADMETA,Sales/Marketing
United States,AdmitHub,Education
United States,AdMobilize,Computer Vision
United Kingdom,Adnow,Sales/Marketing
France,Adomik ,Sales/Marketing
United Kingdom,Adoreboard,Sales/Marketing
India,Adoro Marketplace,E-Commerce
United States,AdPop Media,Sales/Marketing
United States,Adtheorent,Sales/Marketing
United States,AdTheorent,Sales/Marketing
China,Advance.ai,Defense/Security
India,Advenio TecnoSys,Healthcare
Switzerland,Advertima,Sales/Marketing
Canada,Advocate Cognitive Technologies,Communication
United States,Adya,Defense/Security
United States,AeroState,Geolocation
United Kingdom,Aesthetic Integration,Defense/Security
United States,Aetho,Core AI
United States,AEYE,Computer Vision
Japan,Affectiva,Computer Vision
United States,Affectiva,Computer Vision
Canada,Affinio,Text Analytics
United States,Affirm,Fintech
Canada,Afinin Labs,Core AI
United States,Afiniti,Business Intelligence
United States,Aftercode,Software Development
United States,Agari Data,Defense/Security
United States,Agent IQ,Communication
United States,AgentRisk - Superhuman Wealth Management,Fintech
United States,AGI Innovations Inc.,Communication
United States,Agilingua,Communication
United States,AgilOne,Sales/Marketing
United States,Agnito Labs,Communication
United States,Agolo,Communication
United States,Agora,Communication
India,Agora Analytics,Business Intelligence
Ukraine,Agri Eye,Agriculture
United States,Agrilyst,Agriculture
Uruguay,Agronostico,Agriculture
United States,AgVision,Agriculture
United States,Agylytyx,Fintech
Japan,AI Academy,Core AI
Japan,AI inside,Software Development
South Korea,AI Labs,Core AI
United States,AI Machines Inc,Sales/Marketing
Japan,AI Messenger,Communication
United States,AI Patents,Data Analytics
Japan,AI Samurai,Robotics
Japan,AI Squared,Core AI
Japan,AI Travel,Travel
China,AI-Robotics,Communication
China,Ai.Frame,Robotics
Japan,AIBeacon,Data Analytics
United States,AIBrain,Core AI
Singapore,AiChat,Communication
United States,AiCure,Healthcare
United Kingdom,Aiden,Sales/Marketing
Netherlands,Aidence,Core AI
South Korea,aidentify,Computer Vision
Israel,Aidoc,Healthcare
China,AiDriving,Transportation
Hong Kong,Aidyia,Fintech
Sweden,Aifloo,Healthcare
Finland,Aigiant,Agriculture
China,AIHelp,Communication
Netherlands,Aiir Innovations,Automation
Finland,Aikumo,Business Intelligence
South Korea,AIM,Fintech
Belarus,AIMatter,Core AI
United Kingdom,AimBrain,Fintech
Canada,Aimetis,Business Intelligence
Brazil,AIMIRIM,Computer Vision
Sweden,AIMO,Healthcare
Hungary,AImotive,Transportation
United States,Aimotive,Transportation
